"Referentiecode";"Referentienummer";"Omschrijving";"D/C";"Niveau";"ReferentieOmslagcode";"Wijziging"
"BFvaVov";"0307000";"Vorderingen op overige verbonden maatschappijen";"D";3;;
"BFvaVovVol";"0307010";"Vorderingen op overige verbonden maatschappijen (langlopend)";"D";4;;
"BFvaVovVolBeg";"0307010.01";"Beginbalans vorderingen op overige verbonden maatschappijen (langlopend)";"D";5;;
"BFvaVovVolVer";"0307010.02";"Verstrekkingen vorderingen op overige verbonden maatschappijen (langlopend)";"D";5;;
"BFvaVovVolAfl";"0307010.03";"Aflossingen vorderingen op overige verbonden maatschappijen (langlopend)";"C";5;;
"BFvaVovVolAdo";"0307010.04";"Aankopen door overnames vorderingen op overige verbonden maatschappijen (langlopend)";"D";5;;
"BFvaVovVolWvr";"0307010.05";"Waardeverminderingen vorderingen op overige verbonden maatschappijen (langlopend)";"C";5;;
"BFvaVovVolTvw";"0307010.06";"Terugneming van waardeverminderingen vorderingen op overige verbonden maatschappijen (langlopend)";"D";5;;
"BFvaVovVolAid";"0307010.07";"Aandeel in directe vermogenstransacties vorderingen op overige verbonden maatschappijen (langlopend)";"D";5;;
"BFvaVovVolOmv";"0307010.08";"Omrekeningsverschillen vorderingen op overige verbonden maatschappijen (langlopend)";"D";5;;
"BFvaVovVolKod";"0307010.09";"Kortlopend deel vorderingen op overige verbonden maatschappijen (langlopend)";"C";5;;
"BFvaVovVolOvm";"0307010.10";"Overige mutaties vorderingen op overige verbonden maatschappijen (langlopend)";"D";5;;
"BFvaLbv";"0308000";"Latente belastingvorderingen";"D";3;;
"BFvaLbvBll";"0308010";"Latente belastingvorderingen (langlopend)";"D";4;;
"BFvaLbvBllBeg";"0308010.01";"Beginbalans latente belastingvorderingen (langlopend)";"D";5;;
"BFvaLbvBllBvs";"0308010.02";"Belastingeffect van stelselwijziging latente belastingvorderingen (langlopend)";"D";5;;
"BFvaLbvBllBrh";"0308010.03";"Belastingeffecten op gerealiseerde herwaarderingen latente belastingvorderingen (langlopend)";"D";5;;
"BFvaLbvBllBvh";"0308010.04";"Belastingeffecten op gevormde herwaarderingen latente belastingvorderingen (langlopend)";"C";5;;
"BFvaLbvBllOvm";"0308010.05";"Overige mutaties latente belastingvorderingen (langlopend)";"D";5;;
"BFvaOvr";"0309000";"Overige vorderingen";"D";3;;
"BFvaOvrSub";"0309010";"Subsidievorderingen";"D";4;;
"BFvaOvrSubBeg";"0309010.01";"Beginbalans subsidievorderingen";"D";5;;
"BFvaOvrSubVer";"0309010.02";"Verstrekkingen subsidievorderingen";"D";5;;
"BFvaOvrSubAfl";"0309010.03";"Aflossingen subsidievorderingen";"C";5;;
"BFvaOvrSubAdo";"0309010.04";"Aankopen door overnames subsidievorderingen";"D";5;;
"BFvaOvrSubWvr";"0309010.05";"Waardeverminderingen subsidievorderingen";"C";5;;
"BFvaOvrSubTvw";"0309010.06";"Terugneming van waardeverminderingen subsidievorderingen";"D";5;;
"BFvaOvrSubAid";"0309010.07";"Aandeel in directe vermogenstransacties subsidievorderingen";"D";5;;
"BFvaOvrSubOmv";"0309010.08";"Omrekeningsverschillen subsidievorderingen";"D";5;;
"BFvaOvrSubOvm";"0309010.09";"Overige mutaties subsidievorderingen";"D";5;;
"BFvaOvrVob";"0309020";"Vorderingen op bestuurders";"D";4;;
"BFvaOvrVobBeg";"0309020.01";"Beginbalans vorderingen op bestuurders";"D";5;;
"BFvaOvrVobVer";"0309020.02";"Verstrekkingen vorderingen op bestuurders";"D";5;;
"BFvaOvrVobAfl";"0309020.03";"Aflossingen vorderingen op bestuurders";"C";5;;
"BFvaOvrVobAdo";"0309020.04";"Aankopen door overnames vorderingen op bestuurders";"D";5;;
"BFvaOvrVobWvr";"0309020.05";"Waardeverminderingen vorderingen op bestuurders";"C";5;;
"BFvaOvrVobTvw";"0309020.06";"Terugneming van waardeverminderingen vorderingen op bestuurders";"D";5;;
"BFvaOvrVobAid";"0309020.07";"Aandeel in directe vermogenstransacties vorderingen op bestuurders";"D";5;;
"BFvaOvrVobOmv";"0309020.08";"Omrekeningsverschillen vorderingen op bestuurders";"D";5;;
"BFvaOvrVobOvm";"0309020.09";"Overige mutaties vorderingen op bestuurders";"D";5;;
"BFvaOvrOvl";"0309030";"Overige vorderingen (langlopend)";"D";4;;
"BFvaOvrOvlBeg";"0309030.01";"Beginbalans overige vorderingen (langlopend)";"D";5;;
"BFvaOvrOvlVer";"0309030.02";"Verstrekkingen overige vorderingen (langlopend)";"D";5;;
"BFvaOvrOvlAfl";"0309030.03";"Aflossingen overige vorderingen (langlopend)";"C";5;;
"BFvaOvrOvlAdo";"0309030.04";"Aankopen door overnames overige vorderingen (langlopend)";"D";5;;
"BFvaOvrOvlWvr";"0309030.05";"Waardeverminderingen overige vorderingen (langlopend)";"C";5;;
"BFvaOvrOvlTvw";"0309030.06";"Terugneming van waardeverminderingen overige vorderingen (langlopend)";"D";5;;
"BFvaOvrOvlAid";"0309030.07";"Aandeel in directe vermogenstransacties overige vorderingen (langlopend)";"D";5;;
"BFvaOvrOvlOmv";"0309030.08";"Omrekeningsverschillen overige vorderingen (langlopend)";"D";5;;
"BFvaOvrOvlOvm";"0309030.09";"Overige mutaties overige vorderingen (langlopend)";"D";5;;
"BFvaOvrLed";"0309040";"Ledenlening";"D";4;;
"BFvaOvrLedBeg";"0309040.01";"Beginbalans ledenlening";"D";5;;
"BFvaOvrLedVer";"0309040.02";"Verstrekkingen ledenlening";"D";5;;
"BFvaOvrLedAfl";"0309040.03";"Aflossingen ledenlening";"C";5;;
"BFvaOvrLedAdo";"0309040.04";"Aankopen door overnames ledenlening";"D";5;;
"BFvaOvrLedWvr";"0309040.05";"Waardeverminderingen ledenlening";"C";5;;
"BFvaOvrLedTvw";"0309040.06";"Terugneming van waardeverminderingen ledenlening";"D";5;;
"BFvaOvrLedAid";"0309040.07";"Aandeel in directe vermogenstransacties ledenlening";"D";5;;
"BFvaOvrLedOmv";"0309040.08";"Omrekeningsverschillen ledenlening";"D";5;;
"BFvaOvrLedOvm";"0309040.09";"Overige mutaties ledenlening";"D";5;;
"BEff";;"EFFECTEN";"D";2;;
"BEffAan";"0401000";"Aandelen";"D";3;;
"BEffAanAbe";"0401010";"Aandelen beursgenoteerd";"D";4;;
"BEffAanAbeBeg";"0401010.01";"Beginbalans aandelen beursgenoteerd";"D";5;;
"BEffAanAbeAan";"0401010.02";"Aankoop aandelen beursgenoteerd";"D";5;;
"BEffAanAbeSdv";"0401010.03";"Stockdividend aandelen beursgenoteerd";"D";5;;
"BEffAanAbeVrk";"0401010.04";"Verkoop aandelen beursgenoteerd";"C";5;;
"BEffAanAbeAsm";"0401010.05";"Afstempeling aandelen beursgenoteerd";"C";5;;
"BEffAanAbeWvr";"0401010.06";"Waardeverminderingen aandelen beursgenoteerd";"C";5;;
"BEffAanAbeOvm";"0401010.07";"Overige mutaties aandelen beursgenoteerd";"D";5;;
"BEffAanAnb";"0401020";"Aandelen niet beursgenoteerd";"D";4;;
"BEffAanAnbBeg";"0401020.01";"Beginbalans aandelen niet beursgenoteerd";"D";5;;
"BEffAanAnbAan";"0401020.02";"Aankoop aandelen niet beursgenoteerd";"D";5;;
"BEffAanAnbSdv";"0401020.03";"Stockdividend aandelen niet beursgenoteerd";"D";5;;
"BEffAanAnbVrk";"0401020.04";"Verkoop aandelen niet beursgenoteerd";"C";5;;
"BEffAanAnbAsm";"0401020.05";"Afstempeling aandelen niet beursgenoteerd";"C";5;;
"BEffAanAnbOvm";"0401020.06";"Overige mutaties aandelen niet beursgenoteerd";"D";5;;
"BEffObl";"0402000";"Obligaties";"D";3;;
"BEffOblObb";"0402010";"Obligaties beursgenoteerd";"D";4;;
"BEffOblObbBeg";"0402010.01";"Beginbalans obligaties beursgenoteerd";"D";5;;
"BEffOblObbAan";"0402010.02";"Aankoop obligaties beursgenoteerd";"D";5;;
"BEffOblObbVrk";"0402010.03";"Verkoop obligaties beursgenoteerd";"C";5;;
"BEffOblObbUil";"0402010.04";"Uitloting obligaties beursgenoteerd";"C";5;;
"BEffOblObbWvr";"0402010.05";"Waardeverminderingen obligaties beursgenoteerd";"C";5;;
"BEffOblObbOvm";"0402010.06";"Overige mutaties obligaties beursgenoteerd";"D";5;;
"BEffOblOnb";"0402020";"Obligaties niet beursgenoteerd";"D";4;;
"BEffOblOnbBeg";"0402020.01";"Beginbalans obligaties niet beursgenoteerd";"D";5;;
"BEffOblOnbAan";"0402020.02";"Aankoop obligaties niet beursgenoteerd";"D";5;;
"BEffOblOnbVrk";"0402020.03";"Verkoop obligaties niet beursgenoteerd";"C";5;;
"BEffOblOnbUil";"0402020.04";"Uitloting obligaties niet beursgenoteerd";"C";5;;
"BEffOblOnbWvr";"0402020.05";"Waardeverminderingen obligaties niet beursgenoteerd";"C";5;;
"BEffOblOnbOvm";"0402020.06";"Overige mutaties obligaties niet beursgenoteerd";"D";5;;
"BEffOve";"0403000";"Overige effecten";"D";3;;
"BEffOveOeb";"0403010";"Overige effecten beursgenoteerd";"D";4;;
"BEffOveOebBeg";"0403010.01";"Beginbalans overige effecten beursgenoteerd";"D";5;;
"BEffOveOebAan";"0403010.02";"Aankoop overige effecten beursgenoteerd";"D";5;;
"BEffOveOebVrk";"0403010.03";"Verkoop overige effecten beursgenoteerd";"C";5;;
"BEffOveOebWvr";"0403010.04";"Waardeverminderingen overige effecten beursgenoteerd";"C";5;;
"BEffOveOebOvm";"0403010.05";"Overige mutaties overige effecten beursgenoteerd";"D";5;;
"BEffOveOen";"0403020";"Overige effecten niet beursgenoteerd";"D";4;;
"BEffOveOenBeg";"0403020.01";"Beginbalans overige effecten niet beursgenoteerd";"D";5;;
"BEffOveOenAan";"0403020.02";"Aankoop overige effecten niet beursgenoteerd";"D";5;;
"BEffOveOenVrk";"0403020.03";"Verkoop overige effecten niet beursgenoteerd";"C";5;;
"BEffOveOenWvr";"0403020.04";"Waardeverminderingen overige effecten niet beursgenoteerd";"C";5;;
"BEffOveOenOvm";"0403020.05";"Overige mutaties overige effecten niet beursgenoteerd";"D";5;;
"BEiv";;"EIGEN VERMOGEN";"C";2;;
"BEivGok";"0501000";"Gestort en opgevraagd kapitaal";"C";3;;
"BEivGokGea";"0501010";"Gewone aandelen";"C";4;;
"BEivGokGeaBeg";"0501010.01";"Beginbalans gewone aandelen";"C";5;;
"BEivGokGeaUit";"0501010.02";"Uitgifte gewone aandelen";"C";5;;
"BEivGokGeaSto";"0501010.03";"Stortingsplicht gewone aandelen";"C";5;;
"BEivGokGeaSta";"0501010.04";"Stortingen door aandeelhouders gewone aandelen";"C";5;;
"BEivGokGeaAvv";"0501010.05";"Aanzuivering van verliezen gewone aandelen";"C";5;;
"BEivGokGeaVrk";"0501010.06";"Verkoop gewone aandelen";"C";5;;
"BEivGokGeaInk";"0501010.07";"Inkoop gewone aandelen";"D";5;;
"BEivGokGeaOmr";"0501010.08";"Omzetting reserves gewone aandelen";"C";5;;
"BEivGokGeaOml";"0501010.09";"Omzetting leningen gewone aandelen";"C";5;;
"BEivGokGeaInt";"0501010.10";"Intrekking gewone aandelen";"D";5;;
"BEivGokGeaVea";"0501010.11";"Verleende aandelen(optie)regelingen gewone aandelen";"C";5;;
"BEivGokGeaUia";"0501010.12";"Uitgeoefende aandelen(optie)regelingen gewone aandelen";"D";5;;
"BEivGokGeaOvm";"0501010.13";"Overige mutaties gewone aandelen";"C";5;;
"BEivGokWia";"0501020";"Winstrechtloze aandelen";"C";4;;
"BEivGokWiaBeg";"0501020.01";"Beginbalans winstrechtloze aandelen";"C";5;;
"BEivGokWiaUit";"0501020.02";"Uitgifte winstrechtloze aandelen";"C";5;;
"BEivGokWiaSto";"0501020.03";"Stortingsplicht winstrechtloze aandelen";"C";5;;
"BEivGokWiaSta";"0501020.04";"Stortingen door aandeelhouders winstrechtloze aandelen";"C";5;;
"BEivGokWiaAvv";"0501020.05";"Aanzuivering van verliezen winstrechtloze aandelen";"C";5;;
"BEivGokWiaVrk";"0501020.06";"Verkoop winstrechtloze aandelen";"C";5;;
"BEivGokWiaInk";"0501020.07";"Inkoop winstrechtloze aandelen";"D";5;;
"BEivGokWiaInt";"0501020.08";"Intrekking winstrechtloze aandelen";"D";5;;
"BEivGokWiaVea";"0501020.09";"Verleende aandelen(optie)regelingen winstrechtloze aandelen";"C";5;;
"BEivGokWiaUia";"0501020.10";"Uitgeoefende aandelen(optie)regelingen winstrechtloze aandelen";"D";5;;
"BEivGokWiaOvm";"0501020.11";"Overige mutaties winstrechtloze aandelen";"C";5;;
"BEivGokZea";"0501030";"Zeggenschapsrechtloze aandelen";"C";4;;
"BEivGokZeaBeg";"0501030.01";"Beginbalans zeggenschapsrechtloze aandelen";"C";5;;
"BEivGokZeaUit";"0501030.02";"Uitgifte zeggenschapsrechtloze aandelen";"C";5;;
"BEivGokZeaSto";"0501030.03";"Stortingsplicht zeggenschapsrechtloze aandelen";"C";5;;
"BEivGokZeaSta";"0501030.04";"Stortingen door aandeelhouders zeggenschapsrechtloze aandelen";"C";5;;
"BEivGokZeaAvv";"0501030.05";"Aanzuivering van verliezen zeggenschapsrechtloze aandelen";"C";5;;
"BEivGokZeaVrk";"0501030.06";"Verkoop zeggenschapsrechtloze aandelen";"C";5;;
"BEivGokZeaInk";"0501030.07";"Inkoop zeggenschapsrechtloze aandelen";"D";5;;
"BEivGokZeaInt";"0501030.08";"Intrekking zeggenschapsrechtloze aandelen";"D";5;;
"BEivGokZeaVea";"0501030.09";"Verleende aandelen(optie)regelingen zeggenschapsrechtloze aandelen";"C";5;;
"BEivGokZeaUia";"0501030.10";"Uitgeoefende aandelen(optie)regelingen zeggenschapsrechtloze aandelen";"D";5;;
"BEivGokZeaOvm";"0501030.11";"Overige mutaties zeggenschapsrechtloze aandelen";"C";5;;
"BEivGokPra";"0501040";"Preferente aandelen";"C";4;;
"BEivGokPraBeg";"0501040.01";"Beginbalans preferente aandelen";"C";5;;
"BEivGokPraUit";"0501040.02";"Uitgifte preferente aandelen";"C";5;;
"BEivGokPraSto";"0501040.03";"Stortingsplicht preferente aandelen";"C";5;;
"BEivGokPraSta";"0501040.04";"Stortingen door aandeelhouders preferente aandelen";"C";5;;
"BEivGokPraAvv";"0501040.05";"Aanzuivering van verliezen preferente aandelen";"C";5;;
"BEivGokPraVrk";"0501040.06";"Verkoop preferente aandelen";"C";5;;
"BEivGokPraInk";"0501040.07";"Inkoop preferente aandelen";"C";5;;
"BEivGokPraInt";"0501040.08";"Intrekking preferente aandelen";"C";5;;
"BEivGokPraVea";"0501040.09";"Verleende aandelen(optie)regelingen preferente aandelen";"C";5;;
"BEivGokPraUia";"0501040.10";"Uitgeoefende aandelen(optie)regelingen preferente aandelen";"C";5;;
"BEivGokPraOvm";"0501040.11";"Overige mutaties preferente aandelen";"C";5;;
"BEivGokPri";"0501050";"Prioriteitsaandelen";"C";4;;
"BEivGokPriBeg";"0501050.01";"Beginbalans prioriteitsaandelen";"C";5;;
"BEivGokPriUit";"0501050.02";"Uitgifte prioriteitsaandelen";"C";5;;
"BEivGokPriSto";"0501050.03";"Stortingsplicht prioriteitsaandelen";"C";5;;
"BEivGokPriSta";"0501050.04";"Stortingen door aandeelhouders prioriteitsaandelen";"C";5;;
"BEivGokPriAvv";"0501050.05";"Aanzuivering van verliezen prioriteitsaandelen";"C";5;;
"BEivGokPriVrk";"0501050.06";"Verkoop prioriteitsaandelen";"C";5;;
"BEivGokPriInk";"0501050.07";"Inkoop prioriteitsaandelen";"C";5;;
"BEivGokPriInt";"0501050.08";"Intrekking prioriteitsaandelen";"C";5;;
"BEivGokPriVea";"0501050.09";"Verleende aandelen(optie)regelingen prioriteitsaandelen";"C";5;;
"BEivGokPriUia";"0501050.10";"Uitgeoefende aandelen(optie)regelingen prioriteitsaandelen";"C";5;;
"BEivGokPriOvm";"0501050.11";"Overige mutaties prioriteitsaandelen";"C";5;;
"BEivGokAkn";"0501060";"Aandelenkapitaal, fiscaal niet erkend";"C";4;;
"BEivAgi";"0502000";"Agioreserves";"C";3;;
"BEivAgiAgi";"0502010";"Agioreserve";"C";4;;
"BEivAgiAgiBeg";"0502010.01";"Beginbalans agioreserve";"C";5;;
"BEivAgiAgiAib";"0502010.02";"Agio in boekjaar agioreserve";"C";5;;
"BEivAgiAgiDib";"0502010.03";"Disagio in boekjaar agioreserve";"D";5;;
"BEivAgiAgiUib";"0502010.04";"Uitdeling in boekjaar agioreserve";"D";5;;
"BEivAgiAgiOvm";"0502010.05";"Overige mutaties agioreserve";"C";5;;
"BEivAgiAfn";"0502020";"Agio, fiscaal niet erkend";"C";4;;
"BEivAgiAfnBeg";"0502020.01";"Beginbalans agio, fiscaal niet erkend";"C";5;;
"BEivAgiAfnAib";"0502020.02";"Agio in boekjaar agio, fiscaal niet erkend";"C";5;;
"BEivAgiAfnDib";"0502020.03";"Disagio in boekjaar agio, fiscaal niet erkend";"D";5;;
"BEivAgiAfnUib";"0502020.04";"Uitdeling in boekjaar agio, fiscaal niet erkend";"D";5;;
"BEivAgiAfnOvm";"0502020.05";"Overige mutaties agio, fiscaal niet erkend";"C";5;;
"BEivHer";"0503000";"Herwaarderingsreserves";"C";3;;
"BEivHerHew";"0503010";"Herwaarderingsreserve";"C";4;;
"BEivHerHewBeg";"0503010.01";"Beginbalans herwaarderingsreserve";"C";5;;
"BEivHerHewHer";"0503010.02";"Herwaarderingen herwaarderingsreserve";"C";5;;
"BEivHerHewSte";"0503010.03";"Stelselwijziging herwaarderingsreserve";"C";5;;
"BEivHerHewGhw";"0503010.04";"Gerealiseerde herwaarderingen via winst-en-verliesrekening herwaarderingsreserve";"D";5;;
"BEivHerHewGhr";"0503010.05";"Gerealiseerde herwaarderingen via overige reserves herwaarderingsreserve";"D";5;;
"BEivHerHewGha";"0503010.06";"Gerealiseerde herwaarderingen via afgedekt actief of passief herwaarderingsreserve";"D";5;;
"BEivHerHewBvs";"0503010.07";"Belastingeffect van stelselwijziging herwaarderingsreserve";"D";5;;
"BEivHerHewGvw";"0503010.08";"Gevormde herwaarderingen via winst-en-verliesrekening herwaarderingsreserve";"C";5;;
"BEivHerHewGvr";"0503010.09";"Gevormde herwaarderingen via overige reserves herwaarderingsreserve";"C";5;;
"BEivHerHewGva";"0503010.10";"Gevormde herwaarderingen via afgedekt actief of passief herwaarderingsreserve";"C";5;;
"BEivHerHewBrh";"0503010.11";"Belastingeffecten op gerealiseerde herwaarderingen herwaarderingsreserve";"C";5;;
"BEivHerHewBvh";"0503010.12";"Belastingeffecten op gevormde herwaarderingen herwaarderingsreserve";"D";5;;
"BEivHerHewVrh";"0503010.13";"Vrijval herwaardering herwaarderingsreserve";"D";5;;
"BEivHerHewOvm";"0503010.14";"Overige mutaties herwaarderingsreserve";"C";5;;
"BEivWer";"0504000";"Wettelijke reserves";"C";3;;
"BEivWerNba";"0504010";"Negatieve bijschrijvingsreserve als gevolg van de omrekening van het aandelenkapitaal naar de euro";"C";4;;
"BEivWerNbaBeg";"0504010.01";"Beginbalans negatieve bijschrijvingsreserve als gevolg van de omrekening van het aandelenkapitaal naar de euro";"C";5;;
"BEivWerNbaDot";"0504010.02";"Dotatie negatieve bijschrijvingsreserve als gevolg van de omrekening van het aandelenkapitaal naar de euro";"C";5;;
"BEivWerNbaOnt";"0504010.03";"Onttrekking negatieve bijschrijvingsreserve als gevolg van de omrekening van het aandelenkapitaal naar de euro";"D";5;;
"BEivWerNbaOvm";"0504010.04";"Overige mutaties negatieve bijschrijvingsreserve als gevolg van de omrekening van het aandelenkapitaal naar de euro";"C";5;;
"BEivWerRla";"0504020";"Reserve voor lager aandelenkapitaal als gevolg van de omrekening van het aandelenkapitaal naar de euro";"C";4;;
"BEivWerRlaBeg";"0504020.01";"Beginbalans reserve voor lager aandelenkapitaal als gevolg van de omrekening van het aandelenkapitaal naar de euro";"C";5;;
"BEivWerRlaDot";"0504020.02";"Dotatie reserve voor lager aandelenkapitaal als gevolg van de omrekening van het aandelenkapitaal naar de euro";"C";5;;
"BEivWerRlaOnt";"0504020.03";"Onttrekking reserve voor lager aandelenkapitaal als gevolg van de omrekening van het aandelenkapitaal naar de euro";"D";5;;
"BEivWerRlaOvm";"0504020.04";"Overige mutaties reserve voor lager aandelenkapitaal als gevolg van de omrekening van het aandelenkapitaal naar de euro";"C";5;;
"BEivWerRvi";"0504030";"Reserve voor inbreng anders dan in geld";"C";4;;
"BEivWerRviBeg";"0504030.01";"Beginbalans reserve voor inbreng anders dan in geld";"C";5;;
"BEivWerRviDot";"0504030.02";"Dotatie reserve voor inbreng anders dan in geld";"C";5;;
"BEivWerRviOnt";"0504030.03";"Onttrekking reserve voor inbreng anders dan in geld";"D";5;;
"BEivWerRviOvm";"0504030.04";"Overige mutaties reserve voor inbreng anders dan in geld";"C";5;;
"BEivWerRvl";"0504040";"Reserve voor leningen verstrekt met het oog op het verkrijgen van eigen aandelen";"C";4;;
"BEivWerRvlBeg";"0504040.01";"Beginbalans reserve voor leningen verstrekt met het oog op het verkrijgen van eigen aandelen";"C";5;;
"BEivWerRvlDot";"0504040.02";"Dotatie reserve voor leningen verstrekt met het oog op het verkrijgen van eigen aandelen";"C";5;;
"BEivWerRvlOnt";"0504040.03";"Onttrekking reserve voor leningen verstrekt met het oog op het verkrijgen van eigen aandelen";"D";5;;
"BEivWerRvlOvm";"0504040.04";"Overige mutaties reserve voor leningen verstrekt met het oog op het verkrijgen van eigen aandelen";"C";5;;
"BEivWerRvg";"0504050";"Reserve voor geactiveerde kosten van oprichting en uitgifte van aandelen";"C";4;;
"BEivWerRvgBeg";"0504050.01";"Beginbalans reserve voor geactiveerde kosten van oprichting en uitgifte van aandelen";"C";5;;
"BEivWerRvgDot";"0504050.02";"Dotatie reserve voor geactiveerde kosten van oprichting en uitgifte van aandelen";"C";5;;
"BEivWerRvgOnt";"0504050.03";"Onttrekking reserve voor geactiveerde kosten van oprichting en uitgifte van aandelen";"D";5;;
"BEivWerRvgOvm";"0504050.04";"Overige mutaties reserve voor geactiveerde kosten van oprichting en uitgifte van aandelen";"C";5;;
"BEivWerRgk";"0504060";"Reserve voor geactiveerde kosten van onderzoek en ontwikkeling";"C";4;;
"BEivWerRgkBeg";"0504060.01";"Beginbalans reserve voor geactiveerde kosten van onderzoek en ontwikkeling";"C";5;;
"BEivWerRgkDot";"0504060.02";"Dotatie reserve voor geactiveerde kosten van onderzoek en ontwikkeling";"C";5;;
"BEivWerRgkOnt";"0504060.03";"Onttrekking reserve voor geactiveerde kosten van onderzoek en ontwikkeling";"D";5;;
"BEivWerRgkOvm";"0504060.04";"Overige mutaties reserve voor geactiveerde kosten van onderzoek en ontwikkeling";"C";5;;
"BEivWerRed";"0504070";"Reserve deelnemingen";"C";4;;
"BEivWerRedBeg";"0504070.01";"Beginbalans reserve deelnemingen";"C";5;;
